sample_type_short	unsupervised	batch_size	dataset_short	cache_percentage	CliqDeg_2	Cliq_2	Coll_2	Rep_2
2HopRnd	True	4000	PA_U	10.0	1.0956317685986114	1.113250989209516	1	2.1710522440082864
2HopRnd	True	4000	PA_U	20.0	1.3422146659882603	1.3408247601791987	1	3.5993100110447873
2HopRnd	True	4000	PA_U	30.0	1.4231085871738436	1.4177489541154924	1	3.235672642349502
2HopRnd	True	4000	PA_U	40.0	1.4885522559057265	1.4884249577188164	1	2.3555074651293895
2HopRnd	True	4000	PA_U	50.0			1	
2HopRnd	True	4000	PR	1.0	0.8951202858210779	0.99195658392862	1	1.036116023979904
2HopRnd	True	4000	PR	10.0	0.9467635100393624	1.0313084657296308	1	1.7181330717813335
2HopRnd	True	4000	PR	20.0	0.9662253358184972	1.0319536388371147	1	3.290839171326349
2HopRnd	True	4000	PR	30.0	0.9937022317334149	0.9982472230714358	1	4.673840823397534
2HopRnd	True	4000	PR	40.0	1.4488120141122107	1.4489056792281994	1	5.2693496518779845
2HopRnd	True	4000	PR	50.0	1.517718914328641	1.5138321847339713	1	3.805042949995101
2HopRnd	True	4000	TW	1.0	1.098878326599584	1.0870774601364366	1	1.3644221608728606
2HopRnd	True	4000	TW	10.0	1.4685484896372585	1.3757651717435926	1	1.5346302653806334
2HopRnd	True	4000	TW	20.0	1.6562874251497004	1.5979105618550133	1	1.5261816791948017
2HopRnd	True	4000	TW	30.0	1.7608048142970032	1.7553036289587258	1	1.4772658197070088
2HopRnd	True	4000	TW	40.0	1.8953099946552647	1.89821619454837	1	1.4009219668626405
2HopRnd	True	4000	TW	50.0	1.924815091266879	1.9277668453552281	1	1.2715953043360249
2HopRnd	True	4000	UK	1.0	1.116347224220578	1.056401596328747	1	1.1625786615979947
2HopRnd	True	4000	UK	10.0	1.3501881583488078	1.2532496343647808	1	1.5185775557491001
2HopRnd	True	4000	UK	20.0	1.5151305683563747	1.4759344598054274	1	1.7763184843830004
2HopRnd	True	4000	UK	30.0	1.5954121818809428	1.612420372171839	1	1.7400445602033452
2HopRnd	True	4000	UK	40.0			1	
2HopRnd	True	4000	UK	50.0			1	
2HopRnd	True	8000	CF	1.0	1.0029705349822224	1.0201732090819238	1	1.1815101971109152
2HopRnd	True	8000	CF	10.0	1.3065089158169547	1.3278317570563025	1	2.4986546229249793
2HopRnd	True	8000	CF	20.0	1.7111092287493117	1.7171294251468747	1	2.8246943010824253
2HopRnd	True	8000	PA	1.0	1.0514482716027598	1.0154510243334334	1	1.1935249069188827
2HopRnd	True	8000	PA	10.0	1.2683067599740276	1.1816968472693168	1	2.528127479979799
2HopRnd	True	8000	PA	20.0	1.432595792568929	1.3972918519594142	1	2.95723594649048
2HopRnd	True	8000	PA	30.0	1.5336223325165965	1.5316537873552385	1	2.1241858809239598
2HopRnd	True	8000	PA	40.0	1.6009321549487754	1.6016796376907179	1	1.5169063008398187
2HopRnd	True	8000	PA	50.0			1	
2HopRnd	True	8000	PA_U	1.0	0.9866921749791138	1.003662288398826	1	1.1172426634764798
2HopRnd	True	8000	PA_U	10.0	1.077318921875752	1.105783914240347	1	2.16936417209671
2HopRnd	True	8000	PA_U	20.0	1.3579853997175424	1.3461566513502943	1	3.71936559717277
2HopRnd	True	8000	PA_U	30.0	1.4396700835715455	1.4305755330189538	1	3.381069861442383
2HopRnd	True	8000	PA_U	40.0	1.5179933812892614	1.516744941838575	1	2.4600499375780274
2HopRnd	True	8000	PA_U	50.0			1	
2HopRnd	True	8000	PR	1.0	0.9644941569282137	0.9830200333889817	1	0.9954424040066778
2HopRnd	True	8000	PR	10.0	0.9821865546266589	0.9687177124147464	1	1.5692918411329166
2HopRnd	True	8000	PR	20.0	1.0788723957572393	1.1065803699266574	1	3.250284896122491
2HopRnd	True	8000	PR	30.0	0.9837811989426565	0.9745892166890268	1	4.675079367187811
2HopRnd	True	8000	PR	40.0	1.3856551339730065	1.3853565314328942	1	5.078373213361469
2HopRnd	True	8000	PR	50.0	1.4241145502591308	1.424790544277608	1	3.839236331605793
2HopRnd	True	8000	TW	1.0	1.019349918616519	1.0606487155068731	1	1.3338657722704284
2HopRnd	True	8000	TW	10.0	1.3953261327550948	1.3195453564491761	1	1.5847780735198904
2HopRnd	True	8000	TW	20.0	1.6123630131838067	1.5503976187970716	1	1.6076877978382766
2HopRnd	True	8000	TW	30.0	1.7174806356594787	1.7119349794537986	1	1.553565584203062
2HopRnd	True	8000	TW	40.0	1.8711826090466868	1.871909250550027	1	1.4636174636174637
2HopRnd	True	8000	TW	50.0	1.9503325195723549	1.9501010186042596	1	1.340138058759155
2HopRnd	True	8000	UK	1.0	1.1083108742089396	1.0480285879698947	1	1.1653670320017568
2HopRnd	True	8000	UK	10.0	1.362677583776163	1.2470447890684306	1	1.5663612044969815
2HopRnd	True	8000	UK	20.0	1.566971689173182	1.5053749111584933	1	1.891035891968728
2HopRnd	True	8000	UK	30.0	1.698417200885006	1.7068323216278058	1	1.8891095100319586
2HopRnd	True	8000	UK	40.0			1	
2HopRnd	True	8000	UK	50.0			1	
3HopRnd	False	1000	MAG2_H	1.0	2.3381931942271934	1.1629824198959164	1	1.4943383604364038
3HopRnd	False	1000	MAG2_H	2.0	2.5665898963600857	1.215115405797827	1	1.4335978571070946
3HopRnd	False	1000	MAG2_H	4.0	2.3666019776360776	1.325000770107507	1	1.308212426454733
3HopRnd	False	1000	MAG2_H	6.0	1.9157908696084605	1.3751450452541192	1	1.201820110731691
3HopRnd	False	2000	MAG2_H	1.0	2.3858543114987696	1.1646228248197246	1	1.5608078932596399
