       |                                 Optimal                                  |                              Naive                               |                                                                           Info
Boost  |  Pulp  = Time  =max( Time0 , Time1 , Time2 , Time3 )  Rep    CPU  LPTime |  Time  =max( Time0 , Time1 , Time2 , Time3 )  Rep    CPU  LPTime | GPU   T_L   T_R   T_C  LOG
 46.57 |   32.55=  32.55=max(  32.55,  32.55,  32.55,  32.55)   0.00  0.00  15.30 |   69.89=max(  69.85,  69.85,  69.89,  69.86)   0.00  0.00  10.29 | 13GB  1.00  4.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 52.36 |   37.05=  37.05=max(  37.05,  37.05,  37.05,  37.05)   0.00  0.00  17.09 |   70.77=max(  70.73,  70.73,  70.77,  70.74)   0.00  0.00  10.58 | 13GB  1.00  5.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 57.01 |   40.85=  40.85=max(  40.85,  40.85,  40.85,  40.85)   0.00  0.00  17.31 |   71.65=max(  71.61,  71.61,  71.65,  71.62)   0.00  0.00  10.59 | 13GB  1.00  6.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 60.86 |   44.15=  44.15=max(  44.15,  44.15,  44.15,  44.15)   0.00  0.00  16.58 |   72.53=max(  72.49,  72.49,  72.53,  72.50)   0.00  0.00  10.65 | 13GB  1.00  7.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 64.70 |   47.50=  47.50=max(  47.50,  47.50,  47.50,  47.50)   0.00  0.00  16.48 |   73.41=max(  73.38,  73.37,  73.41,  73.38)   0.00  0.00  10.79 | 13GB  1.00  8.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 68.44 |   50.85=  50.85=max(  50.85,  50.85,  50.85,  50.85)   0.00  0.00  17.23 |   74.29=max(  74.26,  74.25,  74.29,  74.26)   0.00  0.00  11.03 | 13GB  1.00  9.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 71.90 |   54.05=  54.05=max(  54.05,  54.05,  54.05,  54.05)   0.00  0.00  16.85 |   75.17=max(  75.14,  75.12,  75.17,  75.14)   0.00  0.00  10.71 | 13GB  1.00 10.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 75.32 |   57.29=  57.29=max(  57.29,  57.29,  57.29,  57.29)   0.00  0.00  17.43 |   76.05=max(  76.02,  76.00,  76.05,  76.02)   0.00  0.00  10.74 | 13GB  1.00 11.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 78.33 |   60.26=  60.26=max(  60.26,  60.26,  60.26,  60.26)   0.00  0.00  16.93 |   76.93=max(  76.90,  76.88,  76.93,  76.90)   0.00  0.00  10.40 | 13GB  1.00 12.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 80.82 |   62.89=  62.89=max(  62.89,  62.89,  62.89,  62.89)   0.00  0.00  17.06 |   77.81=max(  77.78,  77.76,  77.81,  77.78)   0.00  0.00  10.64 | 13GB  1.00 13.00 30.00 run-logs/part4-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
