       |                                 Optimal                                  |                              Naive                               |                                                                     Info
Boost  |  Pulp  = Time  =max( Time0 , Time1 , Time2 , Time3 )  Rep    CPU  LPTime |  Time  =max( Time0 , Time1 , Time2 , Time3 )  Rep    CPU  LPTime | GPU   T_L   T_R   T_C  LOG
100.00 |   35.47=  35.47=max(  35.47,  35.47,  35.47,  35.47)   0.00  0.00   4.20 |   35.47=max(  35.47,  35.47,  35.47,  35.47)   0.00  0.00   3.54 | 75GB  1.00  2.08 45.45 run-logs/part1-0/report_optimal_samgraph_cache_pinsage_kRandomWalk_papers100M_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   80.13=  80.13=max(  80.13,  80.13,  80.13,  80.13)   0.00  0.00   4.96 |   80.13=max(  80.13,  80.13,  80.13,  80.13)   0.00  0.00   6.18 | 11GB  2.00 15.00 60.00 run-logs/part1-0/report_optimal_samgraph_cache_gcn_kWeightedKHopPrefix_papers100M_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   80.13=  80.13=max(  80.13,  80.13,  80.13,  80.13)   0.00  0.00   4.83 |   80.13=max(  80.13,  80.13,  80.13,  80.13)   0.00  0.00   5.45 | 27GB  2.00 15.00 60.00 run-logs/part1-0/report_optimal_samgraph_cache_gcn_kWeightedKHopPrefix_papers100M_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   40.07=  40.07=max(  40.07,  40.07,  40.07,  40.07)   0.00  0.00   4.87 |   40.07=max(  40.07,  40.07,  40.07,  40.07)   0.00  0.00   3.05 | 35GB  1.00  2.08 45.45 run-logs/part1-0/report_optimal_samgraph_cache_gcn_kWeightedKHopPrefix_papers100M_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   40.07=  40.07=max(  40.07,  40.07,  40.07,  40.07)   0.00  0.00   4.75 |   40.07=max(  40.07,  40.07,  40.07,  40.07)   0.00  0.00   3.29 | 75GB  1.00  2.08 45.45 run-logs/part1-0/report_optimal_samgraph_cache_gcn_kWeightedKHopPrefix_papers100M_cache_by_presample_1_cache_rate_000_batch_size_8000
 47.44 |  697.16= 697.16=max( 697.16, 697.16, 697.16, 697.16)   0.00  0.00   5.77 | 1469.43=max(1469.43,1469.43,1469.43,1469.43)   0.00  0.00   3.39 | 11GB  2.00 15.00 60.00 run-logs/part1-0/report_optimal_samgraph_cache_gcn_kKHop2_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 63.23 |  233.35= 233.35=max( 233.35, 233.35, 233.35, 233.35)   0.00  0.00   5.62 |  369.04=max( 369.04, 369.04, 369.04, 369.04)   0.00  0.00   8.28 | 27GB  2.00 15.00 60.00 run-logs/part1-0/report_optimal_samgraph_cache_gcn_kKHop2_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 68.77 |   85.00=  85.00=max(  85.00,  85.00,  85.00,  85.00)   0.00  0.00   5.77 |  123.61=max( 123.61, 123.61, 123.61, 123.61)   0.00  0.00   9.30 | 35GB  1.00  2.08 45.45 run-logs/part1-0/report_optimal_samgraph_cache_gcn_kKHop2_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
100.00 |   83.79=  83.79=max(  83.79,  83.79,  83.79,  83.79)   0.00  0.00   5.79 |   83.79=max(  83.79,  83.79,  83.79,  83.79)   0.00  0.00   2.46 | 75GB  1.00  2.08 45.45 run-logs/part1-0/report_optimal_samgraph_cache_gcn_kKHop2_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 40.70 |  320.86= 320.86=max( 320.86, 320.86, 320.86, 320.86)   0.00  0.00   4.71 |  788.30=max( 788.30, 788.30, 788.30, 788.30)   0.00  0.00   4.78 | 11GB  2.00 15.00 60.00 run-logs/part1-0/report_optimal_samgraph_cache_graphsage_kKHop2_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
 77.58 |   95.40=  95.40=max(  95.40,  95.40,  95.40,  95.40)   0.00  0.00   4.56 |  122.97=max( 122.97, 122.97, 122.97, 122.97)   0.00  0.00   7.78 | 27GB  2.00 15.00 60.00 run-logs/part1-0/report_optimal_samgraph_cache_graphsage_kKHop2_uk-2006-05_cache_by_presample_1_cache_rate_000_batch_size_8000
